"id","name","description","icon"
"pile-testing","Pile Testing","Comprehensive pile foundation testing services","Hammer"
"soil-laboratory","Soil Laboratory","Complete soil testing and analysis","Beaker"
"rock-laboratory","Rock Laboratory","Rock mechanics and strength testing","Box"
"drilling","Drilling & Field Investigation","Subsurface exploration and sampling","Drill"
"geophysical","Geophysical Surveys","Non-invasive subsurface imaging","Waves"
"ndt","Non-Destructive Testing","Concrete and structure integrity testing","Shield"
