id,label,color,gradientFrom,gradientTo,description
pile-testing,Pile Testing,#7c3aed,purple-500,purple-700,Dynamic and static pile load testing services
tunnel-road,Tunnel & Road,#6d28d9,purple-600,purple-800,Tunnel investigations and road geotechnical surveys
hydropower,Hydropower,#8b5cf6,purple-400,purple-600,Geotechnical investigations for hydropower projects
transmission,Transmission Lines,#5b21b6,purple-700,purple-900,Foundation investigations for transmission towers
ndt,NDT Services,#6366f1,indigo-600,purple-700,Non-destructive testing for structures
