"id","icon","value","label","description","gradient","href"
"experience","Trophy","10+","Years of Experience","Delivering excellence in geotechnical services across Nepal since 2015","from-primary-600 to-primary-800","/about"
"projects","Briefcase","100+","Projects Completed","Successful projects across roads, bridges, hydropower, and infrastructure","from-primary-700 to-primary-900","/projects"
"team","Users","50+","Expert Team Members","Skilled Engineers, Geologists and Technicians","from-primary-700 to-primary-900","/about#team"
